location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Bağcılar , Yıldıztepe Mah.,2,1,80,30,3,20000
İstanbul , Bayrampaşa , Terazidere Mah.,2,1,75,35,3,23000
İstanbul , Küçükçekmece , İstasyon Mah.,3,1,110,25,3,23000
İstanbul , Gaziosmanpaşa , Karlıtepe Mah.,4,1,180,30,5,30000
İstanbul , Kadıköy , Suadiye Mah.,3,1,127,4,5,100000
İstanbul , Şişli , Harbiye Mah.,1,1,65,20,4,19000
İstanbul , Üsküdar , Bahçelievler Mah.,3,1,147,19,4,40000
İstanbul , Sarıyer , Büyükdere Mah.,1,1,55,28,1,20000
İstanbul , Tuzla , İstasyon Mah.,3,1,120,8,1,35000
İstanbul , Bayrampaşa , Muratpaşa Mah.,3,1,160,30,4,25000
İstanbul , Kartal , Atalar Mah.,3,1,140,15,5,38000
İstanbul , Silivri , İsmetpaşa Mah.,2,1,90,8,1,15500
İstanbul , Kartal , Topselvi Mah.,3,1,135,25,2,26000
İstanbul , Üsküdar , İcadiye Mah.,3,1,120,35,4,35000
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,90,35,4,25000
İstanbul , Sarıyer , Darüşşafaka Mah.,1,1,70,30,1,20000
İstanbul , Beyoğlu , Pürtelaş Hasan Efendi Mah.,2,1,75,60,1,36000
İstanbul , Adalar , Heybeliada Mah.,2,1,85,38,3,35000
İstanbul , Bahçelievler , Zafer Mah.,3,1,115,13,5,20000
İstanbul , Beyoğlu , Sütlüce Mah.,2,1,110,27,3,36000
İstanbul , Şişli , Paşa Mah.,2,1,86,15,1,28000
İstanbul , Sarıyer , Tarabya Mah.,1,1,50,35,1,13000
İstanbul , Kağıthane , Harmantepe Mah.,1,1,80,25,1,14000
İstanbul , Kağıthane , Telsizler Mah.,1,1,25,30,-1,10000
İstanbul , Pendik , Esenler Mah.,2,1,80,16,1,18000
İstanbul , Pendik , Fatih Mah.,3,1,106,0,8,29000
İstanbul , Bayrampaşa , Terazidere Mah.,2,1,80,25,1,17000
İstanbul , Beyoğlu , Cihangir Mah.,3,1,120,45,5,75000
İstanbul , Avcılar , Denizköşkler Mah.,3,1,160,30,2,20000
İstanbul , Beyoğlu , Cihangir Mah.,1,1,70,20,1,30000
İstanbul , Avcılar , Ambarlı Mah.,2,1,90,35,1,11000
İstanbul , Fatih , Katip Kasım Mah.,3,1,90,35,1,15000
İstanbul , Kadıköy , Osmanağa Mah.,1,1,55,9,2,42500
İstanbul , Maltepe , Küçükyalı Mah.,2,1,80,0,3,42000
İstanbul , Ümraniye , Necip Fazıl Mah.,3,1,125,30,2,25000
İstanbul , Maltepe , Küçükyalı Mah.,2,1,95,31,2,29500
İstanbul , Beşiktaş , Dikilitaş Mah.,2,1,70,0,-1,43000
İstanbul , Bakırköy , Sakızağacı Mah.,2,1,80,31,1,28000
İstanbul , Ataşehir , Barbaros Mah.,1,1,58,13,3,35000
İstanbul , Şişli , Fulya Mah.,3,1,125,25,3,47500
İstanbul , Kadıköy , Kozyatağı Mah.,4,1,165,30,7,70000
İstanbul , Ataşehir , İçerenköy Mah.,3,1,130,28,8,33000
İstanbul , Eyüpsultan , Karadolap Mah.,2,1,90,7,1,24000
İstanbul , Sarıyer , Ayazağa Mah.,1,1,55,7,1,29000
İstanbul , Sancaktepe , Yunus Emre Mah.,2,1,93,5,2,19500
İstanbul , Avcılar , Merkez Mah.,1,1,90,28,1,17000
İstanbul , Esenyurt , Talatpaşa Mah.,2,1,100,10,1,11000
İstanbul , Bakırköy , Osmaniye Mah.,3,1,148,11,8,80000
İstanbul , Bakırköy , Yeşilköy Mah.,3,1,170,13,1,72000
İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,90,42,1,40000
İstanbul , Pendik , Esenler Mah.,2,1,90,5,2,24500
İstanbul , Kağıthane , Sultan Selim Mah.,2,1,85,15,6,25000
İstanbul , Gaziosmanpaşa , Merkez Mah.,2,1,85,16,1,13000
İstanbul , Kadıköy , Suadiye Mah.,3,1,110,26,3,55000
İstanbul , Kadıköy , Caferağa Mah.,1,1,70,4,1,52000
İstanbul , Kartal , Atalar Mah.,2,1,80,0,4,33000
İstanbul , Kadıköy , Caferağa Mah.,1,1,70,4,1,52000
İstanbul , Güngören , Haznedar Mah.,2,1,110,30,-3,25000
İstanbul , Maltepe , Feyzullah Mah.,3,1,160,35,1,50000
İstanbul , Kağıthane , Yahya Kemal Mah.,2,1,90,3,2,25000
İstanbul , Sancaktepe , Fatih Mah.,2,1,82,0,1,17000
İstanbul , Esenyurt , Koza Mah.,2,1,75,8,1,17500
İstanbul , Şişli , Merkez Mah.,3,1,130,30,2,45000
İstanbul , Sancaktepe , İnönü Mah.,3,1,150,9,4,25250
İstanbul , Şişli , Gülbahar Mah.,1,1,70,8,1,35000
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,2,1,75,38,1,15000
İstanbul , Şişli , Fulya Mah.,2,1,90,31,1,31000
İstanbul , Şişli , Gülbahar Mah.,2,1,85,20,3,23000
İstanbul , Bakırköy , Zuhuratbaba Mah.,4,1,175,26,5,51000
İstanbul , Sarıyer , Kireçburnu Mah.,3,1,130,2,1,40000
İstanbul , Eyüpsultan , Mithatpaşa Mah.,1,1,57,7,3,32000
İstanbul , Maltepe , Küçükyalı Mah.,3,1,115,35,2,35000
İstanbul , Kadıköy , Göztepe Mah.,4,1,220,25,4,70000
İstanbul , Maltepe , Cevizli Mah.,2,1,75,0,1,31000
İstanbul , Eyüpsultan , Göktürk Merkez Mah.,1,1,90,15,1,38000
İstanbul , Pendik , Fevzi Çakmak Mah.,3,1,130,15,3,21000
İstanbul , Kağıthane , Merkez Mah.,1,1,44,8,6,26000
İstanbul , Üsküdar , Salacak Mah.,3,1,120,26,1,55000
İstanbul , Sarıyer , İstinye Mah.,3,1,148,27,4,45000
İstanbul , Kadıköy , Sahrayı Cedit Mah.,3,1,110,35,7,44000
İstanbul , Bahçelievler , Bahçelievler Mah.,2,1,95,30,2,25000
İstanbul , Beşiktaş , Muradiye Mah.,3,1,120,40,2,45000
İstanbul , Kadıköy , Hasanpaşa Mah.,3,1,126,26,4,35000
İstanbul , Şişli , Gülbahar Mah.,3,1,120,25,2,25000
İstanbul , Ümraniye , Çamlık Mah.,3,1,140,14,7,29000
İstanbul , Sarıyer , Çamlıtepe Mah.,2,1,110,20,0,35000
İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,120,8,6,17000
İstanbul , Şişli , Halide Edip Adıvar Mah.,2,1,70,6,3,29000
İstanbul , Sancaktepe , Eyüp Sultan Mah.,2,1,75,4,1,22000
İstanbul , Maltepe , Zümrütevler Mah.,1,1,63,1,3,23500
İstanbul , Avcılar , Cihangir Mah.,3,1,125,8,1,15000
İstanbul , Üsküdar , Sultantepe Mah.,2,1,90,40,5,30000
İstanbul , Kadıköy , Acıbadem Mah.,3,1,90,40,5,32500
İstanbul , Bahçelievler , Cumhuriyet Mah.,3,1,135,26,5,30000
İstanbul , Maltepe , İdealtepe Mah.,4,1,200,25,3,60000
İstanbul , Küçükçekmece , Cennet Mah.,3,1,115,31,1,22000
İstanbul , Üsküdar , Küçük Çamlıca Mah.,2,1,85,30,1,18000
İstanbul , Üsküdar , Bahçelievler Mah.,3,1,147,19,4,40000
İstanbul , Kağıthane , Telsizler Mah.,2,1,80,4,8,35000
İstanbul , Bağcılar , Fevzi Çakmak Mah.,2,1,115,0,8,32000
İstanbul , Beşiktaş , Abbasağa Mah.,2,1,90,13,4,90000
İstanbul , Fatih , Derviş Ali Mah.,2,1,65,40,1,13000
İstanbul , Tuzla , Aydınlı Mah.,2,1,100,10,5,30000
İstanbul , Sarıyer , Ferahevler Mah.,2,1,70,25,5,45000
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,130,30,3,25000
İstanbul , Esenyurt , Mevlana Mah.,1,1,75,9,7,14000
İstanbul , Esenyurt , Örnek Mah.,2,1,105,3,3,16750
İstanbul , Fatih , Seyyid Ömer Mah.,1,1,85,37,4,25000
İstanbul , Bahçelievler , Bahçelievler Mah.,1,1,65,35,1,18000
İstanbul , Kağıthane , Çağlayan Mah.,1,1,60,8,4,20000
İstanbul , Büyükçekmece , Ekinoba Mah.,2,1,70,5,2,25000
İstanbul , Maltepe , İdealtepe Mah.,2,1,90,5,1,42000
İstanbul , Üsküdar , Bulgurlu Mah.,3,1,100,20,2,30000
İstanbul , Gaziosmanpaşa , Yenidoğan Mah.,2,1,200,23,5,35000
İstanbul , Avcılar , Merkez Mah.,1,1,80,10,1,18000
İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,75,30,5,35000
İstanbul , Maltepe , Cevizli Mah.,3,1,140,13,3,70000
İstanbul , Esenyurt , Piri Reis Mah.,1,1,75,8,6,18000
