list-view-price,left,location,districk,neighborhood,room,living_room,area,age,floor
10.000,Kiralık Daire,İstanbul , Kağıthane , Telsizler Mah.,1,1,25,30,-1
18.000,Kiralık Daire,İstanbul , Pendik , Esenler Mah.,2,1,80,16,1
29.000,Kiralık Daire,İstanbul , Pendik , Fatih Mah.,3,1,106,1,8
17.000,Kiralık Daire,İstanbul , Bayrampaşa , Terazidere Mah.,2,1,80,25,1
28.000,Kiralık Daire,İstanbul , Beylikdüzü , Kavaklı Mah.,4,2,240,9,3
75.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,3,1,120,45,5
20.000,Kiralık Daire,İstanbul , Avcılar , Denizköşkler Mah.,3,1,160,30,2
30.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,1,1,70,20,1
11.000,Kiralık Daire,İstanbul , Avcılar , Ambarlı Mah.,2,1,90,35,1
15.000,Kiralık Daire,İstanbul , Fatih , Katip Kasım Mah.,3,1,90,35,1
42.500,Kiralık Daire,İstanbul , Kadıköy , Osmanağa Mah.,1,1,55,9,2
42.000,Kiralık Daire,İstanbul , Maltepe , Küçükyalı Mah.,2,1,80,1,3
25.000,Kiralık Daire,İstanbul , Ümraniye , Necip Fazıl Mah.,3,1,125,30,2
110.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,4,1,160,50,4
29.500,Kiralık Daire,İstanbul , Maltepe , Küçükyalı Mah.,2,1,95,31,2
43.000,Kiralık Daire,İstanbul , Beşiktaş , Dikilitaş Mah.,2,1,70,1,-1
28.000,Kiralık Daire,İstanbul , Bakırköy , Sakızağacı Mah.,2,1,80,31,1
35.000,Kiralık Residence,İstanbul , Ataşehir , Barbaros Mah.,1,1,58,13,3
47.500,Kiralık Daire,İstanbul , Şişli , Fulya Mah.,3,1,125,25,3
70.000,Kiralık Daire,İstanbul , Kadıköy , Kozyatağı Mah.,4,1,165,30,7
33.000,Kiralık Daire,İstanbul , Ataşehir , İçerenköy Mah.,3,1,130,28,8
24.000,Kiralık Daire,İstanbul , Eyüpsultan , Karadolap Mah.,2,1,90,7,1
