location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Kadıköy , Kozyatağı Mah.,4,1,165,30,7,70000
İstanbul , Ataşehir , İçerenköy Mah.,3,1,130,28,8,33000
İstanbul , Eyüpsultan , Karadolap Mah.,2,1,90,7,1,24000
İstanbul , Sarıyer , Ayazağa Mah.,1,1,55,7,1,29000
İstanbul , Sancaktepe , Yunus Emre Mah.,2,1,93,5,2,19500
İstanbul , Avcılar , Merkez Mah.,1,1,90,28,1,17000
İstanbul , Esenyurt , Talatpaşa Mah.,2,1,100,10,1,11000
İstanbul , Bakırköy , Osmaniye Mah.,3,1,148,11,8,80000
İstanbul , Bakırköy , Yeşilköy Mah.,3,1,170,13,1,72000
İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,90,42,1,40000
İstanbul , Pendik , Esenler Mah.,2,1,90,5,2,24500
İstanbul , Kağıthane , Sultan Selim Mah.,2,1,85,15,6,25000
İstanbul , Gaziosmanpaşa , Merkez Mah.,2,1,85,16,1,13000
İstanbul , Kadıköy , Suadiye Mah.,3,1,110,26,3,55000
