list-view-price,left,celly 3,celly 4,location,districk,neighborhood,room,living_room,area
15.500,Kiralık Daire,"8
                        Yaşında",1. Kat,İstanbul , Silivri , İsmetpaşa Mah.,2,1,90
26.000,Kiralık Daire,"25
                        Yaşında",2. Kat,İstanbul , Kartal , Topselvi Mah.,3,1,135
35.000,Kiralık Daire,"35
                        Yaşında",4. Kat,İstanbul , Üsküdar , İcadiye Mah.,3,1,120
25.000,Kiralık Daire,"35
                        Yaşında",4. Kat,İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,90
20.000,Kiralık Daire,"30
                        Yaşında",Bahçe Katı,İstanbul , Sarıyer , Darüşşafaka Mah.,1,1,70
36.000,Kiralık Daire,"60
                        Yaşında",Zemin,İstanbul , Beyoğlu , Pürtelaş Hasan Efendi Mah.,2,1,75
125.000,Kiralık Daire,"7
                        Yaşında",21 ve üzeri,İstanbul , Sarıyer , Maslak Mah.,3,1,367
35.000,Kiralık Daire,"38
                        Yaşında",Ara Kat,İstanbul , Adalar , Heybeliada Mah.,2,1,85
20.000,Kiralık Daire,"13
                        Yaşında",5. Kat,İstanbul , Bahçelievler , Zafer Mah.,3,1,115
36.000,Kiralık Daire,"27
                        Yaşında",Çatı Katı,İstanbul , Beyoğlu , Sütlüce Mah.,2,1,110
125.000,Kiralık Daire,"7
                        Yaşında",21 ve üzeri,İstanbul , Sarıyer , Maslak Mah.,3,1,280
28.000,Kiralık Daire,"15
                        Yaşında",1. Kat,İstanbul , Şişli , Paşa Mah.,2,1,86
13.000,Kiralık Daire,"35
                        Yaşında",Giriş Katı,İstanbul , Sarıyer , Tarabya Mah.,1,1,50
14.000,Kiralık Daire,"25
                        Yaşında",Yüksek Giriş,İstanbul , Kağıthane , Harmantepe Mah.,1,1,80
10.000,Kiralık Daire,"30
                        Yaşında",Bodrum,İstanbul , Kağıthane , Telsizler Mah.,1,1,25
18.000,Kiralık Daire,"16
                        Yaşında",Yüksek Giriş,İstanbul , Pendik , Esenler Mah.,2,1,80
29.000,Kiralık Daire,Sıfır Bina,8. Kat,İstanbul , Pendik , Fatih Mah.,3,1,106
17.000,Kiralık Daire,"25
                        Yaşında",1. Kat,İstanbul , Bayrampaşa , Terazidere Mah.,2,1,80
28.000,Kiralık Daire,"9
                        Yaşında",3. Kat,İstanbul , Beylikdüzü , Kavaklı Mah.,4,2,240
75.000,Kiralık Daire,"45
                        Yaşında",En Üst Kat,İstanbul , Beyoğlu , Cihangir Mah.,3,1,120
20.000,Kiralık Daire,"30
                        Yaşında",2. Kat,İstanbul , Avcılar , Denizköşkler Mah.,3,1,160
30.000,Kiralık Daire,"20
                        Yaşında",Yüksek Giriş,İstanbul , Beyoğlu , Cihangir Mah.,1,1,70
11.000,Kiralık Daire,"35
                        Yaşında",Bahçe Katı,İstanbul , Avcılar , Ambarlı Mah.,2,1,90
15.000,Kiralık Daire,"35
                        Yaşında",1. Kat,İstanbul , Fatih , Katip Kasım Mah.,3,1,90
42.500,Kiralık Daire,"9
                        Yaşında",2. Kat,İstanbul , Kadıköy , Osmanağa Mah.,1,1,55
42.000,Kiralık Daire,Sıfır Bina,3. Kat,İstanbul , Maltepe , Küçükyalı Mah.,2,1,80
25.000,Kiralık Daire,"30
                        Yaşında",2. Kat,İstanbul , Ümraniye , Necip Fazıl Mah.,3,1,125
110.000,Kiralık Daire,"50
                        Yaşında",4. Kat,İstanbul , Beyoğlu , Cihangir Mah.,4,1,160
29.500,Kiralık Daire,"31
                        Yaşında",2. Kat,İstanbul , Maltepe , Küçükyalı Mah.,2,1,95
43.000,Kiralık Daire,Sıfır Bina,Kot 1,İstanbul , Beşiktaş , Dikilitaş Mah.,2,1,70
28.000,Kiralık Daire,"31
                        Yaşında",Zemin,İstanbul , Bakırköy , Sakızağacı Mah.,2,1,80
35.000,Kiralık Residence,"13
                        Yaşında",3. Kat,İstanbul , Ataşehir , Barbaros Mah.,1,1,58
47.500,Kiralık Daire,"25
                        Yaşında",3. Kat,İstanbul , Şişli , Fulya Mah.,3,1,125
70.000,Kiralık Daire,"30
                        Yaşında",7. Kat,İstanbul , Kadıköy , Kozyatağı Mah.,4,1,165
33.000,Kiralık Daire,"28
                        Yaşında",8. Kat,İstanbul , Ataşehir , İçerenköy Mah.,3,1,130
24.000,Kiralık Daire,"7
                        Yaşında",1. Kat,İstanbul , Eyüpsultan , Karadolap Mah.,2,1,90
