"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","eids-badge__description","eids-badge__label","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-bahcelievler-soganli-kiralik/daire/76675-1473","11","15.000","16-03-2025","Kiralık Daire","1 +
                          1","75 m²","Sıfır Bina","Bahçe Katı","Bahçelievler Soğanlı'da Sıfır Binada 1+1 70 M2 Bahçe Katı Kiralık Daire","İstanbul / Bahçelievler / Soğanlı Mah.","","","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/9/4/6/7/3/4/9051234b-0722-4d5a-acec-a79cb122bffe.jpg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-kozyatagi-kiralik/daire/62469-485","21","40.000","16-03-2025","Kiralık Daire","2 +
                          1","125 m²","33
                        Yaşında","3. Kat","Kozyatağında Eşyalı Net 110m2 Geniş 2+1 İçi Yenilenmiş Lüx Kiralık","İstanbul / Kadıköy / Kozyatağı Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/6/5/3/2/4/4/751390fa-2434-4740-8627-a5052615b5f8.jpg",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/24340-5107","31","65.000","16-03-2025","Kiralık Daire","3 +
                          1","165 m²","10
                        Yaşında","1. Kat","Göktürk 3+1 Kiralık Irmak Konakları Hemen Taşınabilirsiniz Daire Snowboard'dan","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/2/9/3/1/0/4/4/48250168-7f3e-442c-b3f5-8e5fbbdbb2b1.jpg",""
"https://www.hepsiemlak.com/istanbul-kartal-esentepe-kiralik/daire/128786-1157","19","25.000","15-03-2025","Kiralık Daire","1 +
                          1","58 m²","Sıfır Bina","8. Kat","Lider'den Havuzlu Site İçerisinde 8.Kat Balkonlu Öncephe Lüks1+1","İstanbul / Kartal / Esentepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/lider-gayrimenkul-128786/lider-gayrimenkul-3232931","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Lider Gayrimenkul","Lider
        Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/3/9/2/3/2/3/1a76ff6b-0db8-43e9-9984-3f7d35aad0a3.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/8/7/8/2/1/3504de97-4f25-4a33-a1e5-a169d421b151.jpg"
"https://www.hepsiemlak.com/istanbul-bagcilar-demirkapi-kiralik/daire/43497-1353","18","31.000","15-03-2025","Kiralık Daire","3 +
                          1","110 m²","Sıfır Bina","3. Kat","Yeni Hayat Mahmutbey'de_metroya Yakın_3+1 110 M2 Sıfır_özarslan","İstanbul / Bağcılar / Demirkapı Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","",""
"https://www.hepsiemlak.com/istanbul-sariyer-kumkoy-kiralik/villa/124862-1055","26","80.000","15-03-2025","Kiralık Villa","7 +
                          3","300 m²","21
                        Yaşında","","Sarıyer Kumköy Merkezi Bölgede Müstakil Kiralık Villa","İstanbul / Sarıyer / Kumköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/akin-gayrimenkul-124862","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/6/8/4/2/1/c69d48b8-d623-4613-9945-957799c4ca32.jpg","Akın Gayrimenkul","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/istanbul-sile-ahmetli-kiralik/mustakil-ev/4355-135444","35","250.000","16-03-2025","Kiralık Müstakil Ev","5 +
                          1","295 m²","2
                        Yaşında","","Şile'de 2023 Yapımı Full+full Eşyalı 295m2 Kiralık Müstakil Ev","İstanbul / Şile / Ahmetli Mah.","https://www.hepsiemlak.com/emlak-ofisi/realty-world-czm-gayrimenkul-4355","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/5/3/4/0/0/c81bdc3f-1e91-4462-a044-2b56b3597eb8.jpg","Realty World Czm Gayrimenkul","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/5/5/7/1/4/4/aca5fa7a-5d7a-4773-9d93-1b150110e9d2.jpg","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/istanbul-maltepe-zumrutevler-kiralik/daire/5630-6345","60","30.000","15-03-2025","Kiralık Daire","4 +
                          2","200 m²","7
                        Yaşında","3. Kat","Deprem Yönetmelikli İki Girişli İki Mutfaklı İki Banyolu Dubleks 4 + 2","İstanbul / Maltepe / Zümrütevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/kiziroglu-emlak-5630/mustafa-bey-emre-bey-5630","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/3/6/5/0/0/2fff45ef-b5c4-4d1c-b629-4e97b16a9a60.jpg","Kiziroğlu Emlak","Mustafa Bey
        Emre Bey","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/3/6/1/4/3/4/1726933414-261281-43416344.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/3/6/5/0/0/2be6e93e-8f11-4bc0-8844-226dc21917d4.jpeg"
"https://www.hepsiemlak.com/istanbul-bayrampasa-muratpasa-kiralik/daire/44150-1807","60","25.000","15-03-2025","Kiralık Daire","3 +
                          1","160 m²","30
                        Yaşında","4. Kat","Bayrampaşa Muratpaşa Mah. Dubleks 150 M Kare 3+1 Kombili Balkonlu Daire","İstanbul / Bayrampaşa / Muratpaşa Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/4/5/9/9/2/4/1f7287a7-ede8-44a2-9f60-83423cab5cfe.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/42771-6443","14","27.000","15-03-2025","Kiralık Daire","2 +
                          1","90 m²","18
                        Yaşında","5. Kat","Avrupa Konutları Yakınında 2+1 Full Eşyalı Merkeze Yakın","İstanbul / Şişli / Gülbahar Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/8/2/9/2/4/4/1742050186-86736-44292807.jpeg",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/52307-4073","14","13.000","16-03-2025","Kiralık Daire","1 +
                          1","65 m²","26
                        Yaşında","Kot 2","Koçmer Emlaktan Gülbağ Son Durak Yakınında Öğrenciye ,Çalışana Uygun Elektirik Isıtmalı,Doğalgaz Yok","İstanbul / Şişli / Gülbahar Mah.","https://www.hepsiemlak.com/emlak-ofisi/kocmer-emlak-52307/mehmet-koc-993162","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/6/1/3/9/9/5623e433-f3bc-4648-a0da-f876da1619c7.jpg","Koçmer Emlak","Mehmet
        Koç","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/3/9/2/6/2/4/4/b91883fd-dcaf-4c2c-9a09-c8628b0e1ae7.jpg",""
"https://www.hepsiemlak.com/istanbul-fatih-koca-mustafapasa-kiralik/daire/150966-47","15","12.000","16-03-2025","Kiralık Daire","1 +
                          1","65 m²","32
                        Yaşında","Bahçe Katı","1+1,Eşyalı,Kombili,Bahçekatı.Daire Öğrencilere,Bekarlara Ve Yabancılarada Olur","İstanbul / Fatih / Koca Mustafapaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/omur-emlak-150966","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/6/9/0/5/1/d8393c54-fc3d-496f-8a2b-f0e9bf8a7ff3.jpg","Ömür Emlak","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/1/9/3/3/4/4/1742072831354-44339155.jpg","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/istanbul-esenyurt-baglarcesme-kiralik/daire/134074-181","27","20.000","15-03-2025","Kiralık Daire","2 +
                          1","110 m²","5
                        Yaşında","1. Kat","Kiralık Eşyalı Daire","İstanbul / Esenyurt / Bağlarçeşme Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/8/8/3/3/4/4/1742064114077-44338800.jpg",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-cumhuriyet-kiralik/daire/140941-68","29","44.000","15-03-2025","Kiralık Daire","4 +
                          1","150 m²","6
                        Yaşında","1. Kat","İra Emlaktan Cumhuriyet Mahallesinde 4+1 Kiralık 140m2 Net Daire","İstanbul / Küçükçekmece / Cumhuriyet Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/2/7/3/3/4/4/4dffa2bb-0d9b-419d-b6b9-9559d44ccd23.jpg",""
"https://www.hepsiemlak.com/istanbul-uskudar-ferah-kiralik/daire/0-44336911","20","50.000","15-03-2025","Kiralık Daire","4 +
                          1","220 m²","16
                        Yaşında","Ara Kat","Üsküdar Büyük Çamlıca'da Boğaz Manzaralı Sahibinden 200 M2  Kiralık Daire","İstanbul / Üsküdar / Ferah Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/9/6/3/3/4/4/1742036837919-44336911.jpg",""
"https://www.hepsiemlak.com/istanbul-uskudar-cumhuriyet-kiralik/daire/152865-29","21","21.000","15-03-2025","Kiralık Daire","2 +
                          1","60 m²","25
                        Yaşında","Yüksek Giriş","Üsküdar Cumhuriyet Mahallesi 2+1 Kiralık Daire","İstanbul / Üsküdar / Cumhuriyet Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/0/3/3/3/4/4/532d311f-5076-43a6-9064-50d8136c8a48.jpg",""
